workspace,channel,flagged,is_new_channel,members,topic_now,topic_new,topic_action,description_now,description_new,description_action,note
community,events_oceania,0,0,55,,Events in Oceania,new,Announce events for Oceania region.,Announce and discover RLadies+ events across Oceania.,edit,filled empty topic
community,gender-equality,0,0,5157,,Gender equality,new,Discussion about gender equality.,"Discussion about gender equality, in tech and beyond.",edit,filled empty topic
community,bipoc,0,0,44,,A space for BIPOC community members,new,"for Black, Indigenous, & r-ladies of color","A space for Black, Indigenous, and community members of colour.",edit,filled empty topic; brand mention updated
community,lgtbqia,1,0,137,:purple_heart::rainbow::purple_heart:,A space for LGBTQIA+ community members,edit,,A space for LGBTQIA+ members of the community.,new,"the handle is misspelled — #lgtbqia should be #lgbtqia. Rename is a separate, more disruptive decision; flagged rather than assumed. Current topic is three emoji only"
community,r-project-inclusion,0,0,186,"Discuss issues of inclusion in the R project (R core, CRAN, useR! and other R Foundation activities)",,keep,Discussion about inclusion initiatives.,"Discuss inclusion in the R project — R Core, CRAN, useR!, and other R Foundation activities.",edit,description was vaguer than the topic; made it specific
community,social-justice,0,0,114,Channel to work together on concrete actions to promote social justice globally.,Concrete actions for global social justice,edit,channel to work together on concrete actions to promote social justice globally.,Work together on concrete actions to promote social justice globally.,edit,topic and description were the same sentence twice
community,rspatial,1,0,693,,Spatial data analysis & mapping in R,new,Post cool work/articles and ask questions related to spatial data analysis and visualization in R. Promote gender diversity in the <#CBTU7KB9A> community.  Let’s get some ladies working on spatial and mapping packages!,"Post work and articles, and ask questions, about spatial data analysis and visualisation in R.",edit,REMOVED a raw channel link (<#CBTU7KB9A>) from the description — verify what it pointed at before dropping it for good. Also reworded 'let's get some ladies working on spatial packages'
community,shiny,0,0,578,,"Shiny tips, news & Q&A",new,"A place for tips & tricks, news and Q&A related to Shiny.",,keep,filled empty topic
community,r4bio,0,0,265,,R in the life sciences,new,"To discuss R matters in Biostatistics, Bioinformatics, Computational Biology and Genomics.","Discuss R in biostatistics, bioinformatics, computational biology, and genomics.",edit,filled empty topic
community,tidy-tuesday,0,0,178,,The weekly TidyTuesday data challenge,new,<https://github.com/rfordatascience/tidytuesday>,The weekly TidyTuesday data challenge — share your charts and code: https://github.com/rfordatascience/tidytuesday,edit,description was a bare URL
community,projects,0,0,390,,Find collaborators,new,"Find people to team-up on a project (collaboration, package development or whatever that might be).","Find people to team up with on a project — collaboration, package development, or whatever you're building.",edit,filled empty topic
community,journalism,0,0,18,,Data journalism,new,"Data journalists unite! Share projects, questions you have about writing your about your analysis, praise, complaints, etc.","Data journalists unite! Share projects, questions about writing up your analysis, praise, and complaints.",edit,filled empty topic
community,ranimals,0,0,139,,Pictures of animals,new,Post and rate pictures of animals. Replenish your soul. :dog2: :cat2: :hedgehog: :frog: :bee: :fish: :bird: :unicorn_face:,,keep,filled empty topic
community,rantidote,0,0,6,,Rants & antidotes,new,A place to share your rants as well as antidotes to these rants,,keep,filled empty topic
community,remote,0,0,5129,,Remote work,new,This is a place to discuss remote work.,"Discuss remote work — finding it, doing it, and making it work.",edit,filled empty topic
community,wellness,0,0,3587,,Wellbeing & sanity,new,"Discuss anything around wellness/wellbeing/sanity. To share tips, ask questions, recommend reading material and podcasts.","Discuss anything around wellness, wellbeing, and sanity — share tips, ask questions, recommend reading and podcasts.",edit,filled empty topic
community,whereintheworld,0,0,3568,RLadies+ travelling,,keep,1. to meet people who come to our city for conferences/travel/… 2. to have a list of people who identify as woman or gender minority who offer their spare bed/couch/… to people who go to conferences with a tight budget,"Meet people visiting your city for conferences or travel, and offer (or find) a spare bed or couch for those travelling on a tight budget.",edit,description was a two-item numbered list with a raw line break
community,blogs-by-rladies,0,0,590,use the `/feed` command to add or delete your feed!,Community blog feed — add yours with `/feed subscribe [url]`,edit,Keep up to date with blogs from community members!,,keep,
community,rocur,1,0,118,,RoCur — curating the rotating community account,new,"Discuss and ask questions about tweeting from the RoCur account (For past, present, and future curators)","For past, present, and future RoCur curators — questions and coordination.",edit,"current description says 'tweeting' — confirm which platforms @WeAreRLadies now curates on (Bluesky, Mastodon, X) before wording this"
community,iwd_rladies,0,0,24,,International Women's Day campaign,new,Channel for build the IWD campaing,Building the RLadies+ International Women's Day campaign.,edit,fixed typo 'campaing' in description
community,rladies_es,1,0,191,,Conversación en español,new,,Canal para conversar en español.,new,"both topic and description were empty — copy invented from the channel name, please verify with a Spanish-speaking organiser"
community,rladies_por,0,0,30,,Conversa em português,new,Canal para conversar em Português,,keep,filled empty topic
community,conf-user,1,0,59,,The useR! conference,new,Discussing details around attending useR 2024 Salzburg,Coordinating attendance at the useR! conference.,edit,"description still says 'useR 2024 Salzburg'. Either keep it year-agnostic as proposed, or update it per conference"
community,conf-posit,1,0,26,,posit::conf,new,,Coordinating attendance at posit::conf.,new,topic and description both empty — copy inferred from the channel name
community,celebration,1,0,31,<http://www.celebration2020.org/>,,keep,Celebration for the 20 aniversary of R,,keep,ARCHIVE? Both fields point at R's 20th anniversary in 2020 (celebration2020.org). No copy proposed — this looks finished rather than neglected
community,user2021-community-feedback,1,0,31,,,keep,,,keep,"ARCHIVE? Empty topic and description, tied to useR! 2021. No copy proposed"
community,jinx,1,0,3,,"Jinx, the RLadies+ automation bot",new,,"Notifications and testing for jinx, the RLadies+ automation bot.",new,"3 members, both fields empty — confirm this is the bot channel and not a stray before writing copy into it"
organiser,blog,0,0,,Developing topics for the Rladies blog,Developing topics for the blog,edit,Blog discussions!,"Pitching, drafting, and developing posts for the blog.",edit,
organiser,blogs-by-rladies,0,0,,Read blogs by R Ladies! Add your blog to this feed by typing `/feed subscribe [your/blog/feed.xml]`,Read community blogs! Add your blog to this feed by typing `/feed subscribe [your/blog/feed.xml]`,edit,Keep up to date with blogs from rladies!#,Keep up to date with blogs from the community!,edit,fixed stray '#' in description
organiser,branding,0,0,,,Branding discussions,new,Discussions related to any form of branding for the R-Ladies,Discussions related to any form of branding for the community.,edit,filled empty topic
organiser,communications,0,0,,,"Social media, blog & website team",new,"Team managing R-Ladies Social Media, Blog, Website etc.!!","The team managing our social media, blog, website, and more!",edit,filled empty topic
organiser,conferences,0,0,,,Conferences & meeting up at them,new,Post info about conferences; Organizing meeting up at conferences.,Post info about conferences and organise meeting up at them.,edit,filled empty topic
organiser,events,0,0,,Matters relating to events R-Ladies are doing or thinking of doing,Events we're running or planning,edit,Channel to discuss anything related to events that *R-Ladies* are doing or thinking of doing - or have done! Share how your meetup went here!,"Discuss anything related to events we're doing, thinking of doing, or have done. Share how your meetup went here!",edit,
organiser,finance-fundraising,0,0,,,Fundraising & sponsorship advice,new,help local chapters with fundraising (give advice) and sponsorship,Help local chapters with fundraising and sponsorship — share advice and experiences.,edit,filled empty topic
organiser,food,0,0,,,Food talk,new,For all food-related discussions!!,For all food-related discussions!,edit,filled empty topic
organiser,general,0,0,,R-Ladies-wide  announcements,Community-wide announcements,edit,This channel is for team-wide communication and announcements. All team members are in this channel.,Community-wide communication and announcements. Everyone in the workspace is here.,edit,
organiser,github,0,0,,https://github.com/rladies/,,keep,,"The GitHub organisation — repos, issues, and collaboration: https://github.com/rladies/",new,filled empty description
organiser,help-ask_the_leadership,0,0,,,Questions for the leadership team,new,Do you have questions to the leadership team? This is the place,Have questions for the leadership team? This is the place.,edit,filled empty topic
organiser,help-how_to_slack,0,0,,,How to use this Slack,new,Best practice for how to use slack,Best practices and tips for using this Slack workspace.,edit,filled empty topic
organiser,help-r,0,0,,,"Get help with R — questions, errors, tutorials",new,Discussion about problems and solutions using R. Do you have questions about R? Are you looking for a tutorial? Are you confused with all these R error messages? You can't figure out why your code is not working? THIS PLACE IS FOR YOU.,"Discussion about problems and solutions using R. Questions about R, looking for a tutorial, confused by error messages, or stuck on why your code won't work? This is the place.",edit,
organiser,igotnews,0,0,,"Place for announcements ""I got awesome news/ a new job/etc - great things""",Share good news & celebrate wins,edit,"a place for announcements of the type ""I got awesome news/a new job/etc"" and ""somebody did this great thing, everybody check it out""",A place for announcements like 'I got awesome news / a new job' and 'somebody did this great thing — everybody check it out!',edit,
organiser,jobs,0,0,,"Job postings, career and salary advice, and also a place to post your info if you are searching for a new job.",Job postings & career advice,edit,,"Job postings, career and salary advice, and a place to share your info if you're looking for a new role.",new,filled empty description
organiser,local_slacks,0,0,,,Running local & chapter Slacks,new,Discuss using local Slacks,Discuss using and running local chapter Slack workspaces.,edit,filled empty topic
organiser,meetupr,0,0,,R-Ladies project to create meetupr: an R interface to the meetup.com API,"Project: meetupr, an R interface to the Meetup API",edit,R-Ladies project to create meetupr: an R interface to the meetup.com API,"A project to build meetupr, an R interface to the meetup.com API.",edit,
organiser,mentorship,1,0,,,Mentoring program,new,,Discussion and support for the mentoring program: https://rladies.org/programs/mentoring/,new,invented from blank — please verify
organiser,musicr,0,0,,,Share music,new,"Share songs, music, etc","Share songs, music, and more.",edit,filled empty topic
organiser,new-chapters,0,0,,,Starting a new chapter,new,Forum for anyone interested in starting up a new R-Ladies chapter to engage with the global project team and each other!,For anyone interested in starting a new chapter to connect with the global project team and each other.,edit,filled empty topic
organiser,online-meetups,1,0,,The Host Key: `786521`,Hosting online meetups,edit,Discussion about hosting online meetups.,,keep,REMOVED exposed Zoom host key from topic
organiser,organisers,0,0,,Matters relating to organising meetups,Organising meetups,edit,"Forum for matters related to organising meetups (beyond the initial ""How do I start"" state)","For matters related to organising meetups, beyond the initial 'how do I start' stage.",edit,
organiser,organizer-guide,0,0,,<https://guide.rladies.org/>,https://guide.rladies.org/,edit,,The organiser guide: https://guide.rladies.org/,new,filled empty description
organiser,phd-support,0,0,,,PhD peer support,new,"We can support each other during our PhD's. Share your thoughts, problems, ... but also your success stories :slightly_smiling_face: People who are not PhD students are also welcome if you want to be supportive :slightly_smiling_face:","Support each other through our PhDs — share your thoughts, problems, and success stories. Not a PhD student? You're welcome too if you'd like to be supportive.",edit,filled empty topic
organiser,polyanna,0,0,,,International Secret Santa,new,International R-Ladies Secret Santa,The community's international Secret Santa.,edit,
organiser,posit-cloud,0,0,,,Posit Cloud for meetups,new,This is for event organizers interested in using posit cloud for an R-Ladies meet up.,For event organisers interested in using Posit Cloud for a meetup.,edit,filled empty topic
organiser,project-rladies-metrics,0,0,,rladies metrics project,Metrics project,edit,rladies metrics project,The community metrics project.,edit,
organiser,projects,0,0,,Matters relating to projects R-Ladies are doing or collaborating on,Projects & collaborations,edit,"Channel to discuss projects *R-Ladies* are doing or collaboration on package development, etc","Discuss projects we're working on or collaborating on — package development, tooling, and more.",edit,
organiser,r-babies,0,0,,,Baby & kid photos,new,A place to share photos about babies - Our kids will be our babies forever,A place to share photos of babies — our kids will be our babies forever.,edit,filled empty topic
organiser,r-cats,0,0,,,"Cat pix, all day",new,"Cat pix all day, every day","Cat pix all day, every day.",edit,filled empty topic
organiser,r-dogs,0,0,,#rdogladies,,keep,Post and rate pictures of doggies. Replenish your soul after a good fight against the patriarchy. Other animals are also acceptable.,Post and rate pictures of doggies. Replenish your soul after a good fight against the patriarchy. Other animals also welcome.,edit,
organiser,random,0,0,,,"Off-topic chat, links & fun",new,"A place for non-work banter, links, articles of interest, humor or anything else which you'd like concentrated in some place other than work-related channels.","A place for non-work banter, links, articles of interest, humour, or anything else you'd like to keep out of the work-related channels.",edit,
organiser,rantidote,0,0,,A place to share your rants as well as antidotes to these rants and *is entirely confidential*.  Channel mascot:  :sealion: <http://wondermark.com/sea-lion-verb/>,A confidential place to vent — and to lift each other up. Mascot: :sealion: <http://wondermark.com/sea-lion-verb/>,edit,"the place to let off steam when having to deal with anything from micro-aggressions to outright sexism, to get feedback (reassurance, suggestions for how to deal with it) *and* the place to share progress and the good moments that motivate us","The place to let off steam about anything from micro-aggressions to outright sexism, get feedback and reassurance, and share the progress and good moments that keep us going. Entirely confidential.",edit,
organiser,reviews-english,0,0,,,English reviews for talks & papers,new,Brainstorming and executing a system for reviews of English in scientific presentations and documents for R-Ladies for whom English is a second languange,"Brainstorming and running a system for reviewing English in scientific presentations and documents, for members for whom English is a second language.",edit,fixed typo 'languange'
organiser,self-promotion,1,0,,,Share your work & wins,new,,"Share your own projects, talks, posts, and achievements — self-promotion welcome here!",new,invented from blank — please verify
organiser,social-justice,1,0,,,Social justice discussion,new,,A space to discuss social justice topics within and beyond the community.,new,invented from blank — please verify
organiser,website,0,0,,R-Ladies Website and Brand,Website & brand,edit,"channel to discuss logo development, process etc.","Discuss the website and brand — development, logos, process, and updates.",edit,
organiser,welcome,0,0,,,Say hello and meet the community,new,A place to welcome new people and for new people to say hello,A place to welcome new people — and for new people to say hello!,edit,filled empty topic
organiser,network-asia,1,0,,,Asia network,new,,A network space for the community across Asia.,new,invented from blank — please verify
organiser,network-brasil,1,0,,,Rede Brasil,new,Channel para reunir as organizadoras R-Ladies do Brasil,Canal para reunir as organizadoras dos capítulos no Brasil.,edit,in Portuguese (language network) — please verify
organiser,network-datanauts,1,0,,,Datanauts network,new,,A space for the Datanauts network.,new,invented from blank — please verify
organiser,network-español,1,0,,,Red en español,new,Channel to discuss anything in Spanish.,Canal para conversar sobre cualquier tema en español.,edit,in Spanish (language network) — please verify
organiser,network-français,1,0,,,Réseau en français,new,Channel to discuss anything in French,Canal pour discuter de tout en français.,edit,in French (language network) — please verify
organiser,network-lgbtqia,0,0,,,LGBTQIA+ network,new,+,A network and space for LGBTQIA+ members of the community.,edit,expanded from '+' placeholder
organiser,network-netherlands,0,0,,,Netherlands network,new,to bring together the R ladies in the Netherlands,A network space for the community across the Netherlands.,edit,regional network — kept English
organiser,network-nordic,1,0,,,Nordic network,new,,A network space for the community across the Nordic countries.,new,invented from blank — please verify
organiser,network-turkce,1,0,,,Türkçe ağ,new,Channel to discuss anything in Turkish,Her şeyi Türkçe konuşabileceğiniz kanal.,edit,in Turkish (language network) — please verify
organiser,conf-erum,1,0,,,eRum conference,new,,Discussion and coordination for the eRum (European R Users Meeting) conference.,new,invented from blank — please verify
organiser,conf-posit,1,0,,,posit::conf planning,new,Planning for Posit::conf 2023,Planning and coordination for posit::conf.,edit,removed stale '2023'
organiser,conf-user,0,0,,matters relating to useR! conferences,useR! conferences,edit,Discussion of possible R-Ladies events and activities at or around useR! conference,Discussion of possible events and activities at or around the useR! conference.,edit,
organiser,reviews-earl,0,0,,,EARL conference reviews,new,Coordinating feedback for EARL conferences,Coordinating feedback for EARL conference submissions.,edit,filled empty topic
organiser,rladies-adelaide,1,0,,August -&gt; R-Ladies newbie workshop!,Adelaide Chapter,edit,,Organising and community for the Adelaide chapter. All welcome!,new,replaced stale event-specific topic; filled empty description
organiser,rladies-ames,0,0,,,Ames Chapter,new,R-Ladies Ames organization,Organising the Ames chapter.,edit,filled empty topic
organiser,rladies-amsterdam,1,0,,,Amsterdam Chapter,new,,Organising and community for the Amsterdam chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-argentina,1,0,,,Argentina Chapter,new,,Organising and community for the Argentina chapters. All welcome!,new,invented from blank — please verify
organiser,rladies-aurora,1,0,,,Aurora Chapter,new,,Organising and community for the Aurora chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-austin,1,0,,,Austin Chapter,new,,Organising and community for the Austin chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-bari,1,0,,,Bari Chapter,new,,Organising and community for the Bari chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-berlin,0,0,,Let's get started - R-Ladies Berlin,Berlin Chapter,edit,"A place for R-Ladies in Berlin to meet up, asking for help, events planning and more. Welcome :)","A place to meet up in Berlin, ask for help, plan events, and more. Welcome!",edit,
organiser,rladies-boston,0,0,,,Boston Chapter,new,Boston-related discussion. All are welcome!,,keep,filled empty topic
organiser,rladies-boulder,1,0,,,Boulder Chapter,new,,Organising and community for the Boulder chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-brisbane,1,0,,,Brisbane Chapter,new,,Organising and community for the Brisbane chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-budapest,1,0,,,Budapest Chapter,new,,Organising and community for the Budapest chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-buenos-aires,0,0,,,Buenos Aires Chapter,new,R-Ladies Buenos Aires Organization,Organising the Buenos Aires chapter.,edit,filled empty topic
organiser,rladies-buffalo,0,0,,,Buffalo Chapter,new,"R-Ladies channel for Buffalo, NY","Channel for Buffalo, NY.",edit,filled empty topic
organiser,rladies-capetown,0,0,,,Cape Town Chapter,new,For members of the R-Ladies Cape Town chapter to keep in touch,For members of the Cape Town chapter to keep in touch.,edit,filled empty topic
organiser,rladies-chennai,1,0,,,Chennai Chapter,new,,Organising and community for the Chennai chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-chicago,1,0,,,Chicago Chapter,new,,Organising and community for the Chicago chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-cologne,0,0,,R-Ladies Cologne,Cologne Chapter,edit,Channel for organizing and running the R-Ladies Cologne chapter,Channel for organising and running the Cologne chapter.,edit,
organiser,rladies-columbus,0,0,,,Columbus Chapter,new,"Columbus, OH","Columbus, OH chapter.",edit,filled empty topic
organiser,rladies-ct,0,0,,,Connecticut Chapter,new,rladies in Connecticut,Connecticut chapter.,edit,filled empty topic
organiser,rladies-dc,0,0,,,Washington DC Chapter,new,R-ladies DC chapter,Washington DC chapter.,edit,filled empty topic
organiser,rladies-dublin,1,0,,,Dublin Chapter,new,,Organising and community for the Dublin chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-eastlansing,1,0,,,East Lansing Chapter,new,,Organising and community for the East Lansing chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-germany,0,0,,,Germany Chapter,new,Short-way for R-Ladies located in Germany,For members located in Germany.,edit,filled empty topic; cleaned wording
organiser,rladies-lausanne,0,0,,,Lausanne Chapter,new,communication among the lausanne organisers,Communication among Lausanne organisers.,edit,filled empty topic
organiser,rladies-leuven,1,0,,,Leuven Chapter,new,,Organising and community for the Leuven chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-lisbon,0,0,,,Lisbon Chapter,new,Start R ladies community in Lisboa!,Lisbon community.,edit,filled empty topic; cleaned wording
organiser,rladies-london,1,0,,,London Chapter,new,,Organising and community for the London chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-los-angeles,0,0,,,Los Angeles Chapter,new,Local LA chapter discussion,Los Angeles (LA) chapter discussion.,edit,filled empty topic
organiser,rladies-louisville,1,0,,,Louisville Chapter,new,,Organising and community for the Louisville chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-madrid,0,0,,R-Ladies Madrid issues â¯â¯,Madrid Chapter,edit,R-Ladies Madrid organization,Organising the Madrid chapter.,edit,fixed broken emoji in topic
organiser,rladies-manchester,0,0,,,Manchester Chapter,new,A place for R funs to meet up and share their ideas,A place to meet up and share ideas in Manchester.,edit,filled empty topic; fixed typo 'funs'
organiser,rladies-miami,0,0,,Miami,Miami Chapter,edit,,Organising and community for the Miami chapter. All welcome!,new,filled empty description
organiser,rladies-montevideo,1,0,,,Montevideo Chapter,new,,Organising and community for the Montevideo chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-montreal,1,0,,,Montreal Chapter,new,,Organising and community for the Montreal chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-munich,1,0,,,Munich Chapter,new,,Organising and community for the Munich chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-nyc,1,0,,,New York City Chapter,new,,Organising and community for the NYC chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-oslo,0,0,,,Oslo Chapter,new,"Oslo R-Ladies chat (be kind, chat in English)","Oslo chat (be kind, chat in English).",edit,filled empty topic
organiser,rladies-paris,0,0,,,Paris Chapter,new,Planning of the Paris chapter meetings,Planning Paris chapter meetings.,edit,filled empty topic
organiser,rladies-pdx,0,0,,,Portland (OR) Chapter,new,R-Ladies Portland Oregon Organizers Channel,"Portland, Oregon (PDX) organisers channel.",edit,filled empty topic
organiser,rladies-podgorica,1,0,,,Podgorica Chapter,new,,Organising and community for the Podgorica chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-portland,0,0,,,Portland (ME) Chapter,new,"To discuss the new Portland, Maine chapter.","To discuss the Portland, Maine chapter.",edit,filled empty topic
organiser,rladies-pune,0,0,,,Pune Chapter,new,R-Ladies Pune community discussions,Pune community discussions.,edit,filled empty topic
organiser,rladies-remote,0,0,,,Remote Chapter,new,discuss organisation of a remote chapter,Discuss the organisation of a remote chapter.,edit,filled empty topic
organiser,rladies-rio,0,0,,,Rio de Janeiro Chapter,new,Coordinate actions in Rladies Rio Chapter,Coordinating the Rio chapter.,edit,filled empty topic
organiser,rladies-rtp,0,0,,,Research Triangle Park Chapter,new,A channel for all things R-Ladies RTP,A channel for all things RTP (Research Triangle Park).,edit,filled empty topic
organiser,rladies-san-francisco,1,0,,,San Francisco Chapter,new,,Organising and community for the San Francisco chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-santabarbara,1,0,,,Santa Barbara Chapter,new,,Organising and community for the Santa Barbara chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-santarosa,0,0,,,Santa Rosa Chapter,new,"Channel for the Chapter of RLadies in Santa Rosa, La Pampa","Channel for the chapter in Santa Rosa, La Pampa.",edit,filled empty topic
organiser,rladies-santiago,1,0,,,Santiago Chapter,new,Organizar las reuniones de RLadiesSantiago,Organizar las reuniones del capítulo de Santiago.,edit,kept existing Spanish — please verify
organiser,rladies-sao-paulo,1,0,,,São Paulo Chapter,new,,Organising and community for the São Paulo chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-sjo,0,0,,,San José Chapter,new,"San Jose, CR chapter","San José, Costa Rica chapter.",edit,filled empty topic
organiser,rladies-stockholm,0,0,,,Stockholm Chapter,new,Discuss the organization of R-Ladies Stockholm,Discuss the organisation of the Stockholm chapter.,edit,filled empty topic
organiser,rladies-twin-cities,0,0,,,Twin Cities Chapter,new,This channel connects the Twin Cities R Ladies.,Connecting the Twin Cities chapter.,edit,filled empty topic
organiser,rladies-vancouver,0,0,,,Vancouver Chapter,new,Channel for Vancouver chapter organizers,Channel for Vancouver chapter organisers.,edit,filled empty topic
organiser,rladies-victoria,1,0,,,Victoria Chapter,new,,Organising and community for the Victoria chapter. All welcome!,new,invented from blank — please verify
organiser,rladies-warsaw,1,0,,,Warsaw Chapter,new,,Organising and community for the Warsaw chapter. All welcome!,new,invented from blank — please verify
community,,0,1,,,"Cooking, eating & recipes worth stealing",new,,"Share what you're cooking, what you're eating, and the recipes worth stealing.",new,"The organiser workspace has run #food for years, and 35 of its 1,168 members opted in — about 3%. The same rate across this workspace's 5,359 members is roughly 160 people. The appetite is demonstrated; it is just currently served on the side where hardly anyone can reach it."
community,,0,1,,,What we're reading,new,,"Books we're reading — technical, fiction, and everything in between. Recommendations very welcome.",new,"Neither workspace has anything like this, so unlike the other two there is no opt-in rate to point at — it is a guess. It is also the cheapest kind of guess to make: seed it, give it six months, archive it if it stays quiet."
community,,0,1,,,What we're listening to,new,,"Songs, albums, and playlists — share what's on while you work.",new,"Mirrors the organiser workspace's #musicr, which is the weakest performer of that whole set: 18 members, about 1.5%. Proportionally that is still ~80 people here, but it is the one I would hold back — launch it only if #fun-food lands."
